 location_description,date_month,count
Central Highlands,2011-04,7
Central Highlands,2011-05,3
Central Highlands,2011-06,4
Central Highlands,2011-07,6
Central Highlands,2011-08,1
Central Highlands,2011-09,5
Central Highlands,2011-10,4
Central Highlands,2011-11,3
Central Highlands,2011-12,6
Central Highlands,2012-01,2
Central Highlands,2012-02,9
Central Highlands,2012-03,3
Central Highlands,2012-04,7
Central Highlands,2012-05,6
Central Highlands,2012-06,4
Central Highlands,2012-07,4
Central Highlands,2012-08,5
Central Highlands,2012-09,4
Central Highlands,2012-10,7
Central Highlands,2012-12,4
Central Highlands,2013-01,3
Central Highlands,2013-02,10
Central Highlands,2013-03,13
Central Highlands,2013-04,3
Central Highlands,2013-05,6
Central Highlands,2013-06,2
Central Highlands,2013-07,5
Central Highlands,2013-09,1
Central Highlands,2013-10,4
Central Highlands,2013-11,4
Central Highlands,2013-12,10
Central Highlands,2014-01,9
Central Highlands,2014-02,4
Central Highlands,2014-03,3
Central Highlands,2014-04,6
Central Highlands,2014-05,3
Central Highlands,2014-06,4
Central Highlands,2014-07,6
Central Highlands,2014-08,6
Central Highlands,2014-09,6
Central Highlands,2014-10,5
Central Highlands,2014-11,6
Central Highlands,2014-12,4
Central Highlands,2015-01,6
Central Highlands,2015-02,10
Central Highlands,2015-03,6
Central Highlands,2015-04,3
Central Highlands,2015-05,2
Central Highlands,2015-06,4
Central Highlands,2015-07,6
Central Highlands,2015-08,3
Central Highlands,2015-09,3
Central Highlands,2015-10,4
Central Highlands,2015-11,4
Central Highlands,2015-12,5
Central Highlands,2016-01,10
Central Highlands,2016-02,9
Central Highlands,2016-03,6
Central Highlands,2016-04,6
Central Highlands,2016-05,5
Central Highlands,2016-06,6
Central Highlands,2016-07,1
Central Highlands,2016-08,4
Central Highlands,2016-09,4
Central Highlands,2016-10,2
Central Highlands,2016-11,8
Central Highlands,2016-12,6
Central Highlands,2017-01,5
Central Highlands,2017-02,5
Central Highlands,2017-03,9
Central Highlands,2017-04,2
Central Highlands,2017-05,2
Central Highlands,2017-06,6
Central Highlands,2017-07,3
Central Highlands,2017-08,3
Central Highlands,2017-09,8
Central Highlands,2017-10,4
Central Highlands,2017-11,5
Central Highlands,2017-12,3
Central Highlands,2018-01,4
Central Highlands,2018-02,2
Central Highlands,2018-03,7
Central Highlands,2018-04,5
Central Highlands,2018-05,2
Central Highlands,2018-06,5
Central Highlands,2018-07,5
Central Highlands,2018-08,7
Central Highlands,2018-09,2
Central Highlands,2018-10,2
Central Highlands,2018-11,3
Central Highlands,2018-12,8
Central Highlands,2019-01,8
Central Highlands,2019-02,7
Central Highlands,2019-03,5
Central Highlands,2019-04,6
Central Highlands,2019-05,9
Central Highlands,2019-06,8
Central Highlands,2019-07,3
Central Highlands,2019-08,4
Central Highlands,2019-09,6
Central Highlands,2019-10,4
Central Highlands,2019-11,4
Central Highlands,2019-12,6
Central Highlands,2020-01,6
Central Highlands,2020-02,7
Central Highlands,2020-03,7
Central Highlands,2020-04,2
Central Highlands,2020-05,1
Central Highlands,2020-06,3
Central Highlands,2020-07,4
Central Highlands,2020-08,4
Central Highlands,2020-10,3
Central Highlands,2020-11,4
Circular Head,2010-01,10
Circular Head,2010-02,9
Circular Head,2010-03,12
Circular Head,2010-04,11
Circular Head,2010-05,7
Circular Head,2010-06,7
Circular Head,2010-07,7
Circular Head,2010-08,3
Circular Head,2010-09,4
Circular Head,2010-10,9
Circular Head,2010-11,9
Circular Head,2010-12,9
Circular Head,2011-01,8
Circular Head,2011-02,7
Circular Head,2011-03,8
Circular Head,2011-04,6
Circular Head,2011-05,8
Circular Head,2011-06,3
Circular Head,2011-07,6
Circular Head,2011-08,12
Circular Head,2011-09,3
Circular Head,2011-10,10
Circular Head,2011-11,8
Circular Head,2011-12,12
Circular Head,2012-01,7
Circular Head,2012-02,4
Circular Head,2012-03,11
Circular Head,2012-04,6
Circular Head,2012-05,5
Circular Head,2012-06,11
Circular Head,2012-07,4
Circular Head,2012-08,9
Circular Head,2012-09,5
Circular Head,2012-10,10
Circular Head,2012-11,12
