location,date,crash_count
dennes_point,2011-07,26
dennes_point,2011-08,15
dennes_point,2011-09,19
dennes_point,2011-10,21
dennes_point,2011-11,18
dennes_point,2011-12,23
dennes_point,2012-01,22
dennes_point,2012-02,26
dennes_point,2012-03,21
dennes_point,2012-04,26
dennes_point,2012-05,15
dennes_point,2012-06,20
dennes_point,2012-07,13
dennes_point,2012-08,15
dennes_point,2012-09,18
dennes_point,2012-10,16
dennes_point,2012-11,22
dennes_point,2012-12,21
dennes_point,2013-01,25
dennes_point,2013-02,14
dennes_point,2013-03,23
dennes_point,2013-04,17
dennes_point,2013-05,20
dennes_point,2013-06,19
dennes_point,2013-07,28
dennes_point,2013-08,29
dennes_point,2013-09,27
dennes_point,2013-10,22
dennes_point,2013-11,27
dennes_point,2013-12,23
dennes_point,2014-01,25
dennes_point,2014-02,23
dennes_point,2014-03,34
dennes_point,2014-04,24
dennes_point,2014-05,20
dennes_point,2014-06,25
dennes_point,2014-07,15
dennes_point,2014-08,23
dennes_point,2014-09,19
dennes_point,2014-10,20
dennes_point,2014-11,23
dennes_point,2014-12,26
dennes_point,2015-01,19
dennes_point,2015-02,25
dennes_point,2015-03,26
dennes_point,2015-04,24
dennes_point,2015-05,26
dennes_point,2015-06,27
dennes_point,2015-07,14
dennes_point,2015-08,21
dennes_point,2015-09,23
dennes_point,2015-10,27
dennes_point,2015-11,30
dennes_point,2015-12,36
dennes_point,2016-01,15
dennes_point,2016-02,22
dennes_point,2016-03,18
dennes_point,2016-04,19
dennes_point,2016-05,21
dennes_point,2016-06,22
dennes_point,2016-07,21
dennes_point,2016-08,20
dennes_point,2016-09,27
dennes_point,2016-10,24
dennes_point,2016-11,27
dennes_point,2016-12,35
dennes_point,2017-01,18
dennes_point,2017-02,32
dennes_point,2017-03,28
dennes_point,2017-04,18
dennes_point,2017-05,24
dennes_point,2017-06,17
dennes_point,2017-07,22
dennes_point,2017-08,20
dennes_point,2017-09,16
dennes_point,2017-10,27
dennes_point,2017-11,33
dennes_point,2017-12,34
dennes_point,2018-01,24
dennes_point,2018-02,19
dennes_point,2018-03,15
dennes_point,2018-04,17
dennes_point,2018-05,22
dennes_point,2018-06,33
dennes_point,2018-07,29
dennes_point,2018-08,26
dennes_point,2018-09,21
dennes_point,2018-10,20
dennes_point,2018-11,32
dennes_point,2018-12,28
dennes_point,2019-01,23
dennes_point,2019-02,27
dennes_point,2019-03,30
dennes_point,2019-04,25
dennes_point,2019-05,34
dennes_point,2019-06,25
dennes_point,2019-07,31
dennes_point,2019-08,28
dennes_point,2019-09,23
dennes_point,2019-10,17
dennes_point,2019-11,22
dennes_point,2019-12,22
dennes_point,2020-01,25
dennes_point,2020-02,21
dennes_point,2020-03,26
dennes_point,2020-04,12
dennes_point,2020-05,18
dennes_point,2020-06,16
dennes_point,2020-07,22
dennes_point,2020-08,25
dennes_point,2020-09,14
dennes_point,2020-10,13
dennes_point,2020-11,19
dennes_point,2020-12,6
devonport_airport,2010-01,60
devonport_airport,2010-02,54
devonport_airport,2010-03,70
devonport_airport,2010-04,46
devonport_airport,2010-05,50
devonport_airport,2010-06,71
devonport_airport,2010-07,70
devonport_airport,2010-08,49
devonport_airport,2010-09,60
devonport_airport,2010-10,53
devonport_airport,2010-11,68
devonport_airport,2010-12,51
devonport_airport,2011-01,61
devonport_airport,2011-02,47
devonport_airport,2011-03,53
devonport_airport,2011-04,54
devonport_airport,2011-05,62
devonport_airport,2011-06,38
devonport_airport,2011-07,36
devonport_airport,2011-08,50
devonport_airport,2011-09,41
devonport_airport,2011-10,45
devonport_airport,2011-11,50
devonport_airport,2011-12,40
devonport_airport,2012-01,46
devonport_airport,2012-02,57
devonport_airport,2012-03,43
devonport_airport,2012-04,45
devonport_airport,2012-05,54
devonport_airport,2012-06,51
devonport_airport,2012-07,40
devonport_airport,2012-08,50
devonport_airport,2012-09,44
devonport_airport,2012-10,41
devonport_airport,2012-11,60
devonport_airport,2012-12,48
devonport_airport,2013-01,58
devonport_airport,2013-02,59
devonport_airport,2013-03,43
devonport_airport,2013-04,66
devonport_airport,2013-05,67
devonport_airport,2013-06,47
devonport_airport,2013-07,56
devonport_airport,2013-08,47
devonport_airport,2013-09,51
devonport_airport,2013-10,40
devonport_airport,2013-11,50
devonport_airport,2013-12,55
devonport_airport,2014-01,44
devonport_airport,2014-02,40
devonport_airport,2014-03,65
devonport_airport,2014-04,55
devonport_airport,2014-05,63
devonport_airport,2014-06,50
devonport_airport,2014-07,45
devonport_airport,2014-08,38
devonport_airport,2014-09,45
devonport_airport,2014-10,57
devonport_airport,2014-11,36
devonport_airport,2014-12,51
devonport_airport,2015-01,54
devonport_airport,2015-02,47
devonport_airport,2015-03,55
devonport_airport,2015-04,59
devonport_airport,2015-05,57
devonport_airport,2015-06,52
devonport_airport,2015-07,50
devonport_airport,2015-08,43
devonport_airport,2015-09,45
devonport_airport,2015-10,33
devonport_airport,2015-11,52
devonport_airport,2015-12,43
devonport_airport,2016-01,60
devonport_airport,2016-02,52
devonport_airport,2016-03,52
devonport_airport,2016-04,70
devonport_airport,2016-05,53
devonport_airport,2016-06,60
devonport_airport,2016-07,57
devonport_airport,2016-08,44
devonport_airport,2016-09,55
devonport_airport,2016-10,38
devonport_airport,2016-11,68
devonport_airport,2016-12,68
devonport_airport,2017-01,42
devonport_airport,2017-02,47
devonport_airport,2017-03,64
devonport_airport,2017-04,62
devonport_airport,2017-05,58
devonport_airport,2017-06,48
devonport_airport,2017-07,65
devonport_airport,2017-08,53
devonport_airport,2017-09,49
devonport_airport,2017-10,50
devonport_airport,2017-11,48
devonport_airport,2017-12,51
devonport_airport,2018-01,62
devonport_airport,2018-02,51
devonport_airport,2018-03,54
devonport_airport,2018-04,46
devonport_airport,2018-05,59
devonport_airport,2018-06,50
devonport_airport,2018-07,49
devonport_airport,2018-08,55
devonport_airport,2018-09,27
devonport_airport,2018-10,52
devonport_airport,2018-11,59
devonport_airport,2018-12,42
devonport_airport,2019-01,37
devonport_airport,2019-02,56
devonport_airport,2019-03,62
devonport_airport,2019-04,49
devonport_airport,2019-05,60
devonport_airport,2019-06,63
devonport_airport,2019-07,57
devonport_airport,2019-08,37
devonport_airport,2019-09,42
devonport_airport,2019-10,61
devonport_airport,2019-11,45
devonport_airport,2019-12,48
devonport_airport,2020-01,54
devonport_airport,2020-02,67
devonport_airport,2020-03,59
devonport_airport,2020-04,21
devonport_airport,2020-05,39
devonport_airport,2020-06,58
devonport_airport,2020-07,42
devonport_airport,2020-08,53
devonport_airport,2020-09,36
devonport_airport,2020-10,41
devonport_airport,2020-11,29
devonport_airport,2020-12,15
dunalley_(stroud_point),2010-01,3
dunalley_(stroud_point),2010-02,1
dunalley_(stroud_point),2010-03,5
dunalley_(stroud_point),2010-04,4
dunalley_(stroud_point),2010-05,4
dunalley_(stroud_point),2010-06,1
dunalley_(stroud_point),2010-07,6
dunalley_(stroud_point),2010-09,5
dunalley_(stroud_point),2010-10,5
dunalley_(stroud_point),2010-12,3
dunalley_(stroud_point),2011-01,9
dunalley_(stroud_point),2011-03,3
dunalley_(stroud_point),2011-04,5
dunalley_(stroud_point),2011-05,4
dunalley_(stroud_point),2011-07,1
dunalley_(stroud_point),2011-08,1
dunalley_(stroud_point),2011-11,3
dunalley_(stroud_point),2011-12,1
dunalley_(stroud_point),2012-01,3
dunalley_(stroud_point),2012-02,1
dunalley_(stroud_point),2012-03,4
dunalley_(stroud_point),2012-05,2
dunalley_(stroud_point),2012-06,2
dunalley_(stroud_point),2012-07,3
dunalley_(stroud_point),2012-08,2
dunalley_(stroud_point),2012-09,2
dunalley_(stroud_point),2012-10,1
dunalley_(stroud_point),2012-11,2
dunalley_(stroud_point),2012-12,1
dunalley_(stroud_point),2013-01,2
dunalley_(stroud_point),2013-02,3
dunalley_(stroud_point),2013-03,4
dunalley_(stroud_point),2013-04,4
dunalley_(stroud_point),2013-06,3
dunalley_(stroud_point),2013-07,2
dunalley_(stroud_point),2013-08,1
dunalley_(stroud_point),2013-09,1
dunalley_(stroud_point),2013-10,5
dunalley_(stroud_point),2013-11,3
dunalley_(stroud_point),2013-12,2
dunalley_(stroud_point),2014-01,1
dunalley_(stroud_point),2014-03,5
dunalley_(stroud_point),2014-04,1
dunalley_(stroud_point),2014-05,3
dunalley_(stroud_point),2014-06,2
dunalley_(stroud_point),2014-07,1
dunalley_(stroud_point),2014-08,1
dunalley_(stroud_point),2014-09,2
dunalley_(stroud_point),2014-10,3
dunalley_(stroud_point),2014-11,6
dunalley_(stroud_point),2014-12,1
dunalley_(stroud_point),2015-01,4
dunalley_(stroud_point),2015-02,2
dunalley_(stroud_point),2015-03,3
dunalley_(stroud_point),2015-04,3
dunalley_(stroud_point),2015-05,2
dunalley_(stroud_point),2015-06,2
dunalley_(stroud_point),2015-07,2
dunalley_(stroud_point),2015-08,4
dunalley_(stroud_point),2015-09,2
dunalley_(stroud_point),2015-10,4
dunalley_(stroud_point),2015-11,1
dunalley_(stroud_point),2015-12,3
dunalley_(stroud_point),2016-01,4
dunalley_(stroud_point),2016-02,3
dunalley_(stroud_point),2016-03,2
dunalley_(stroud_point),2016-04,1
dunalley_(stroud_point),2016-05,1
dunalley_(stroud_point),2016-06,4
dunalley_(stroud_point),2016-07,5
dunalley_(stroud_point),2016-08,2
dunalley_(stroud_point),2016-09,3
dunalley_(stroud_point),2016-10,5
dunalley_(stroud_point),2016-11,2
dunalley_(stroud_point),2016-12,3
dunalley_(stroud_point),2017-01,4
dunalley_(stroud_point),2017-02,3
dunalley_(stroud_point),2017-03,6
dunalley_(stroud_point),2017-04,4
dunalley_(stroud_point),2017-05,2
dunalley_(stroud_point),2017-06,7
dunalley_(stroud_point),2017-07,5
dunalley_(stroud_point),2017-08,1
dunalley_(stroud_point),2017-09,2
dunalley_(stroud_point),2017-10,3
dunalley_(stroud_point),2017-11,4
dunalley_(stroud_point),2017-12,6
dunalley_(stroud_point),2018-01,4
dunalley_(stroud_point),2018-02,4
dunalley_(stroud_point),2018-03,11
dunalley_(stroud_point),2018-04,5
dunalley_(stroud_point),2018-05,2
dunalley_(stroud_point),2018-06,4
dunalley_(stroud_point),2018-07,4
dunalley_(stroud_point),2018-08,1
dunalley_(stroud_point),2018-09,2
dunalley_(stroud_point),2018-11,1
dunalley_(stroud_point),2018-12,2
dunalley_(stroud_point),2019-01,1
dunalley_(stroud_point),2019-02,2
dunalley_(stroud_point),2019-03,4
dunalley_(stroud_point),2019-04,6
dunalley_(stroud_point),2019-05,1
dunalley_(stroud_point),2019-06,2
dunalley_(stroud_point),2019-07,6
dunalley_(stroud_point),2019-08,2
dunalley_(stroud_point),2019-09,4
dunalley_(stroud_point),2019-10,5
dunalley_(stroud_point),2019-11,4
dunalley_(stroud_point),2019-12,4
dunalley_(stroud_point),2020-01,1
dunalley_(stroud_point),2020-02,6
dunalley_(stroud_point),2020-03,4
dunalley_(stroud_point),2020-04,4
dunalley_(stroud_point),2020-05,2
dunalley_(stroud_point),2020-06,1
dunalley_(stroud_point),2020-07,3
dunalley_(stroud_point),2020-08,2
dunalley_(stroud_point),2020-09,4
dunalley_(stroud_point),2020-10,1
dunalley_(stroud_point),2020-11,1
dunalley_(stroud_point),2020-12,1
flinders_island_airport,2010-02,1
flinders_island_airport,2010-03,2
flinders_island_airport,2010-04,2
flinders_island_airport,2010-05,1
flinders_island_airport,2010-08,1
flinders_island_airport,2011-05,1
flinders_island_airport,2011-06,2
flinders_island_airport,2011-09,2
flinders_island_airport,2012-01,1
flinders_island_airport,2012-03,1
flinders_island_airport,2012-09,1
flinders_island_airport,2013-02,1
flinders_island_airport,2013-03,1
flinders_island_airport,2013-06,1
flinders_island_airport,2013-07,1
flinders_island_airport,2013-10,1
flinders_island_airport,2013-12,1
flinders_island_airport,2014-04,1
flinders_island_airport,2014-05,2
flinders_island_airport,2014-06,2
flinders_island_airport,2014-12,2
flinders_island_airport,2015-01,1
flinders_island_airport,2015-02,1
flinders_island_airport,2015-04,1
flinders_island_airport,2015-05,1
flinders_island_airport,2015-07,1
flinders_island_airport,2015-10,1
